בני יהודה
טמיר ללו, Tamir Lalou, שוער
יהונתן שאבי, Yehonatan Shabi, שוער
יוגב לרמן , Yogev Lerman, הגנה
תמיר חיימוביץ, Tamir Haimovich, הגנה
סתיו ישראלי, Stav Israeli, הגנה
עידן רטה, Idan Rata, הגנה
עמרי יחזקאל , Omri Yehezkel, הגנה
גונתן אגיאפונג,  Jonatan Aguyapong, הגנה
סולימאן פופאנה, Soulymane Fofana, הגנה
שחר רוזן, Shahar Rosen, הגנה
יזן נסאר, Yazen Nassar, הגנה
רונן גרדושוב, Ronen Gardoshov, קישור 
אייל חן, Eyal Hen, קישור
נהוראי קריב , Nehoray Kariv, קישור
סולומון דניאל , Solomon Daniel, קישור
שי אייזן , Shay Ayzen, קישור
קלוד קויואדיו , Claude Kouakou, קישור
גיא סביליה , Guy Sivilia, קישור
עדן אוטאצי , Eden Otachi, קישור
אבובאקר בארי , Abubakr Barry, קישור
נועם גיסין, Noam Gissin, קישור
אלמוג בוזגלו, Almog Buzaglo, קישור
יניב מזרחי, Yaniv Mizrahi, התקפה
שחר הירש , Shahar Hirsh, התקפה
אלירן עטר , Eliran Atar, התקפה
מאור ביטון , Maor Biton, התקפה
שלו דניאל, Shalev Daniel, התקפה
הראל בן אבי , Harel Ben Avi, התקפה

END


