בני יהודה, Bnei Yehuda
הפועל נוף הגליל, Hapoel Nof HaGalil
הפועל כפר סבא,  Hapoel Kfar Saba
הפועל עפולה, Hapoel Afula
הפועל עכו, Hapoel Acre
הפועל אום אל-פאחם, Hapoel Umm AlFahm
הפועל ראשון לציון, Hapoel Rishon Lezion
הפועל רמת השרון, Hapoel Ramat HaSharon
הפועל רמת גן,  Hapoel Ramat Gan
מ.ס כפר קאסם, Kfar Qasem 
עירוני טבריה, Ironi Tiberias
עירוני קריית שמונה, Ironi Kiryat Shmona 
איחוד בני שפרעם, Ihud Bnei Shefaram
מכבי קביליו יפו, Maccabi Jaffa
מכבי הרצליה, Maccabi Herzliya
סקציה נס ציונה, Sekzia Ness Ziona
