23
37
עידן כהן, הפועל רמת השרון, הפועל פתח תקווה
יובל ששון, הפועל ראשון לציון, הפועל פתח תקווה
שחר צפריר, הפועל אום אל-פאחם, הפועל כפר שלם
עדן אוטאצי, הפועל כפר שלם, הפועל רמת השרון
נועם כהן, הפועל פתח תקווה, הפועל רמת השרון
סהר רביבו, בני יהודה, הפועל רמת השרון
דור אוסובסקי, הפועל ראשון לציון, הפועל רמת השרון
גוליאן שלופה, הפועל נוף הגליל, בני יהודה
יובל בן עמי, הפועל כפר שלם, הפועל כפר סבא
אמיר ברקוביץ, הפועל פתח תקווה, הפועל ראשון לציון
סמואל בראון, בני יהודה, הפועל ראשון לציון
איסמעיל ריאן, הפועל עפולה, הפועל רעננה
איהאם שחאדה, הפועל עכו, הפועל נוף הגליל
שלו דניאל, הפועל עפולה, הפועל נוף הגליל
הראל שאשא, הפועל רמת גן, מכבי יפו
זיגי בדיבאנגה, בני יהודה, הפועל עפולה
אביב ביטון, הפועל עכו, הפועל אום אל-פאחם
עדן בן סימון, הפועל עכו, הפועל אום אל-פאחם
גיל ברדה, הפועל נוף הגליל, הפועל אום אל-פאחם
עבדול קודוס קוליבאלי, הפועל נוף הגליל, הפועל אום אל-פאחם
END
