טום דייוויס, Tom Davies, קישור, שפילד יונייטד, 5
טים קרול, Tim Krul, שוער, לוטון, 3
רומאו לאביה, Romeo Lavia, קישור, צ'לסי, 4
ווטרו אנדו, Wataru Endo, קישור, ליברפול, 4
ניקולו זאניולו, Nicolo Zaniolo, קישור, אסטון וילה, 7
טיילר אדאמס, Tyler Adams, קישור, בורנמות', 4
לואיס הול, Lewis Hall, הגנה, ניוקאסל, 4
האנס דלקרואה, Hannes Delcroix, הגנה, ברנלי, 4
קונסטנטינוס מאברופנוס, Konstantinos Mavropanos, הגנה, ווסטהאם, 5
ארון ראמזי, Aaron Ramsey, קישור, ברנלי, 4
גונזאלו מונטיאל, Gonzalo Montiel, הגנה, נוטינגהאם,  6
דייויד וושינגטון, Deivid Washington, התקפה, צ'לסי, 3
אנדריי סנטוס, Andrey Santos, קישור, נוטינגהאם, 3
ז'ורז'ה פטרוביץ', Djordje Petrovic, שוער, צ'לסי, 3
מוחמד קודוס, Mohammed Kudus, קישור, ווסטהאם, 8
טימותי קאסטנייה, Timothy Castagne, הגנה, פולהאם, 5
בטו, Beto, התקפה, אברטון, 6
קרלוס באלבה, Carlos Baleba, קישור, ברייטון, 3
סטיבן בנדה, Steven Benda, שוער, פולהאם, 3
אנזו גונזאלס, Enso Gonzalez, קישור, וולבס, 3
סנטיאגו בואנו, Santiago Bueno, הגנה, וולבס, 5
האן-נוח מאסנגו, Han-Noah Massengo, קישור, ברנלי, 3
מוריו, Murillo, הגנה, נוטינגהאם, 4
אלטאי באינדיר, Altay Bayindir, שוער, מנצ'סטר יונייטד, 3
נונו טבארז, Nuno Tavares, הגנה, נוטינגהאם, 5
קלמנט לנגלה, Clement Lenglet , הגנה, אסטון וילה, 5
טומי דוייל, Tommy Doyle, קישור, וולבס, 3
אנסו פאטי, Ansu Fati, קישור, ברייטון, 9
ניקולס דומינגז, Nicolas Dominguez, קישור, נוטינגהאם, 6
קאלום האדסון-אודוי, Callum Hudson-Odoi, קישור, נוטינגהאם, 7
ראיין חראבנברך, Ryan Gravenberch, קישור, ליברפול, 6
אודיסיאס ולאכודימוס, Odysseas Vlachodimos, שוער, נוטינגהאם, 5
סופיאן אמרבאט, Sofyan Amrabat, קישור, מנצ'סטר יונייטד, 5
אלברט סמבי לוקונגה, Albert Sambi Lokonga, קישור, לוטון, 4
מייק טרסור, Mike Tresor, קישור, ברנלי, 6
END
